qstr_Next_Page|Следующая страница
qstr_Try_as_you_might_you|Несмотря на все усилия, Вам не удалось победить бандитов. В ярости они сравняли деревню с землей в наказание за сопротивление и, оставив позади пылающие развалины, отправились на поиски новых угодий.
qstr_village|Деревня
qstr_town|Город
qstr_castle|Замок
qstr_The_{s17}_has_no_imp|{s17} не содержит улучшений.
qstr_The_{s17}_has_the_fo|{s17} содержит следующие улучшения: {s18}.
qstr_The_assasins_beat_yo|Убийцы избивают вас и бросают, решив, будто вы умерли.
qstr_You_have_fallen._The|Вы упали без сознания. Бандиты быстро обчищают Ваши карманы, не оставляя даже мелкой монетки и растворяются в ночи. Впрочем, они оставили Вас в живых, если это можно так назвать.
qstr_Luckily_some_of_your|К счастью, после того как Вы не вернулись, Ваши спутники отправились на поиски и нашли Вас на обочине дороги. Они перенесли Вас в безопасное место и перевязали раны.
qstr_Luckily_some_passing|К счастью, жители города, проходившие мимо заметили Вас, лежащего на обочине дороги и, поняв, что это не обычный бродяга, отнесли Вас в ближайшую таверну, где перевязали Ваши раны.
qstr_You_fail_to_steal_an|Вы не смогли украсть скот.
qstr_You_drive_away_{reg1|Вы угнали {reg17} {reg12?голов:голову} скота из деревенского стада.
qstr_You_are_at_{s2}.|{s2}.
qstr__This_castle_has_no_| В этом замке нет гарнизона.
qstr__This_town_has_no_ga| В этом городе нет гарнизона.
qstr__You_have_successful| Вы благополучно проскользнули мимо стражи.
qstr_{s13}_A_tournament_w|{s13} Скоро здесь состоится турнир.
qstr___{reg1}_cats_per_| ({reg1} кат за ночь)
qstr_Moreover_you_earn_{r|Кроме того, Вы получаете {reg8} кат от ставок на себя...
qstr_Victory_is_yours!_Yo|Победа за Вами! Вы выиграли в этом поединке, теперь Вам нужно подготовиться к следующему.
qstr_You_have_been_bested|Вы проиграли в этом поединке, но признав ваше мастерство и храбрость, герольд позволяет вам принять участие в следующем.
qstr_You_were_beaten._The|Вы проиграли. Селяне радуются своему успеху, но урок, который Вы хотели им преподать пропал даром...
qstr_After_beating_your_l|После победы над последним противником вы объясняете крестьянам, каким образом можно защититься от подобной атаки. Возможно, они примут это к сведению и будут лучше подготовлены в следующий раз.
qstr_The_bandits_are_brok|Бандиты повержены! Те немногие кто выжил убегают с поджатыми хвостами в страхе перед крестьянами и их новым защитником.
qstr_{s1}_s_Ship|Судно, принадлежащее {s1}
qstr_However_{reg3?You_ar|{reg3?Вы не смогли:{s1} не смог} найти товаров, которые могут принести прибыль.
qstr_^Buying_{s4}_here_an|^Купив {s4} здесь и продав его в {s5} Вы получите прибыль в размере {reg6} кат за единицу товара.{s3}
qstr_{reg3?You_find:{s1}_|{reg3?Вы обнаружили:{s1} обнаружил} следующее:^{s3}
qstr_{s2}^{reg1}_{s1}_ear|{s2}^{reg1} {s1} получают {reg0} опыта.
qstr_{s2}^{s1}_earned_an_|{s2}^{s1} дополнительно получает {reg0} опыта.
qstr_^You_earned_{reg0}_e|^Вы получаете {reg0} опыта.{s2}
qstr_The_training_didn_t_|Тренировка прошла плохо.
qstr_The_training_didn_t_g|Тренировка прошла не совсем хорошо.
qstr_The_training_went_qu|Тренировка прошла удовлетворительно.
qstr_The_training_went_ve|Тренировка прошла хорошо.
qstr_The_training_went_pe|Тренировка прошла отлично.
qstr_{s13}_asked_you_to_r|{s13} просил вас явиться к нему, имея минимум {reg13} воинов в отряде.
qstr_{s13}_ordered_you_to|{s13} приказал Вам присоединиться к осаде {s14}.
qstr_Find_and_speak_with_|Разыщите и поговорите с {s3} ({s4}) для принесения ему вассальной присяги.
qstr_There_has_been_an_al|Ходят слухи о пограничной стычке: {s9}
qstr_^^Note_that_so_long_|^^Обратите внимание: пока Вы являетесь вождём, другие вассалы будут ожидать, что Вы поведете их за собой. Если Вы ждете начала пира, свадьбы или других событий, вы можете сложить с себя полномочия вождя, обратившись к Вашему сеньору.
qstr_The_cargo_manta_is_u|Грузовая манта используется торговцами по всей пустоши. Даёт +10 к макс. размеру отряда и +10 к управлению инвентарём.
qstr_The_war_manta_is_use|Боевая манта используется многими лордами и генералами, которые не могут позволить себе большой металлический дирижабль. Даёт +5% к скорости, +15 к макс. размеру отряда и +3 к управлению инвентарём.
qstr_The_black_raider_man|Чёрная рейдерская манта — маленькая, быстрая и агрессивная манта. Даёт +15% к скорости, +10 к макс. размеру отряда и +1 к управлению инвентарём.
qstr_grazers|пасущиеся
qstr_fin_lizards|плавниковые ящерицы
qstr_dashers|рысаки
qstr_something_went_wrong|что-то пошло не так
qstr_You_have_found_a_her|Вы нашли стадо из {reg9} {s9}.
qstr_You_went_hunting.|Вы отправились на охоту.
qstr_The_hunt_is_over._Yo|Охота окончена. Вы добыли {reg6} {s9}. Что желаете сделать дальше?
qstr_You_got_{reg6}_{s9}!|Вы получили {reg6} {s9}!
qstr_The_corsair_is_the_f|Корсар — самый быстрый дирижабль, но не может нести много груза. Даёт +25% к скорости, +30 к макс. размеру отряда и +1 к управлению инвентарём.
qstr_The_frigate_is_the_w|Фрегат — рабочая лошадь войны на всём Континенте. Даёт +15% к скорости, +50 к макс. размеру отряда и +3 к управлению инвентарём.
qstr_The_dreadnaught_is_t|Дредноут — крупнейший тип дирижабля на Континенте, почти исключительно используется вождями и великими лордами. Даёт +5% к скорости, +100 к макс. размеру отряда и +4 к управлению инвентарём.
qstr_Cargo_Manta|Грузовая Манта
qstr_merchant_manta|торговая манта
